t,x,v,a,id,length,lane,oldLane,pos,event
0,0,20,0,0,6,7,,0,enter lane
0,0,20,0,0,6,7,,0,timer
0,0,20,0,0,6,7,,0,change slow
0,0,20,0,0,6,0,7,0,enter lane
0.5,10.12,20.5,1.0,0,6,0,7,10.12,timer
1.0,20.49,21.0,1.0,0,6,0,7,20.49,timer
1.5,31.11,21.5,1.0,0,6,0,7,31.11,timer
2.0,41.98,22.0,1.0,0,6,0,7,41.98,timer
2.5,53.1,22.5,1.0,0,6,0,7,53.1,timer
3,64.47,23.0,1.0,0,6,0,7,64.47,leave lane
3,64.47,23.0,1.0,0,6,0,,64.47,done change slow
3.0,64.47,23.0,0,0,6,0,,64.47,timer
3,64.47,23.0,0,0,6,0,,64.47,change fast
3,64.47,23.0,0,0,6,7,0,64.47,enter lane
3.5,76.09,23.5,1.0,0,6,7,0,76.09,timer
4.0,87.97,24.0,1.0,0,6,7,0,87.97,timer
4.5,100.09,24.5,1.0,0,6,7,0,100.09,timer
5,112.47,25.0,1.0,0,6,7,0,112.47,leave lane
5,112.47,25.0,1.0,0,6,7,,112.47,done change fast
5.0,112.47,25.0,0,0,6,7,,112.47,timer
5.5,124.74,23.8889,-2.7777777777777777,0,6,7,,124.74,timer
5.5,124.74,23.8889,-2.7777777777777777,0,6,7,,124.74,change slow
5.5,124.74,23.8889,-2.7777777777777777,0,6,0,7,124.74,enter lane
6.0,136.81,24.3889,1.0,0,6,0,7,136.81,timer
6.5,149.13,24.8889,1.0,0,6,0,7,149.13,timer
7.0,161.7,25.3889,1.0,0,6,0,7,161.7,timer
7.5,174.52,25.8889,1.0,0,6,0,7,174.52,timer
8.0,187.59,26.3889,1.0,0,6,0,7,187.59,timer
8.5,200.91,26.8889,1.0,0,6,0,7,200.91,leave lane
8.5,200.91,26.8889,1.0,0,6,0,,200.91,done change slow
8.5,200.91,26.8889,0,0,6,0,,200.91,timer
9.0,214.04,25.358,-3.8271666666666664,0,6,0,,214.04,timer
9.0,214.04,25.358,-3.8271666666666664,0,6,0,,214.04,change slow
9.0,214.04,25.358,-3.8271666666666664,0,6,2,0,214.04,enter lane
9.5,226.84,25.858,1.0,0,6,2,0,226.84,timer
10.0,239.89,26.358,1.0,0,6,2,0,239.89,timer
